BOM_url,Title,Domestic_Total_Gross,Release_Date,Budget,UK_Total_Gross,Actors,Genre,Country,British,
http://www.boxofficemojo.com/movies/?id=30daysofnight.htm,30 Days of Night,39568996,10/19/07,30000000,8815968,"['Josh Hartnett', 'Ben Foster', 'Danny Huston', 'Melissa George']",Horror,"['USA', 'New Zealand']",0,
http://www.boxofficemojo.com/movies/?id=30minutesorless.htm,30 Minutes or Less,37053924,8/12/11,28000000,872851,"['Fred Ward', 'Michael Pena', 'Nick Swardson', 'Danny McBride', 'Aziz Ansari', 'Jesse Eisenberg']",Action,"['Germany', 'Canada', 'USA']",0,
http://www.boxofficemojo.com/movies/?id=310toyuma.htm,3:10 to Yuma,53606916,9/7/07,55000000,2425312,"['Ben Foster', 'Vinessa Shaw', 'Peter Fonda', 'Logan Lerman', 'Gretchen Mol', 'Christian Bale', 'Russell Crowe', 'Alan Tudyk', 'Luke Wilson*']",Western,['USA'],1,
http://www.boxofficemojo.com/movies/?id=360.htm,360,100343,8/3/12,,163181,"['Ben Foster', 'Anthony Hopkins', 'Jude Law', 'Rachel Weisz']",Drama,"['UK', 'Austria', 'France', 'Brazil']",1,
http://www.boxofficemojo.com/movies/?id=3burialsofmelquiadesestrada.htm,The Three Burials of Melquiades Estrada,5027684,12/14/05,15000000,720843,"['Melissa Leo', 'Tommy Lee Jones', 'Barry Pepper', 'Dwight Yoakam', 'January Jones']",Western,"['France', 'USA']",0,
http://www.boxofficemojo.com/movies/?id=3d06.htm,Tim Burton's The Nightmare Before Christmas in 3-D,8700869,10/20/06,,704481,[],Animation,[],[],0
http://www.boxofficemojo.com/movies/?id=3idiots.htm,3 Idiots,6532874,12/23/09,,2531879,"['Aamir Khan', 'Madhavan', 'Sharman Joshi', 'Kareena Kapoor']",Comedy,['India'],0,
http://www.boxofficemojo.com/movies/?id=40shadesofblue.htm,Forty Shades of Blue,75828,9/30/05,1500000,83666,"['Dina Korzun', 'Rip Torn', 'Darren E. Burrows', 'Andrew Lawrence Henderson']",Drama,['USA'],0,
http://www.boxofficemojo.com/movies/?id=40yearoldvirgin.htm,The 40-Year-Old Virgin,109449237,8/19/05,26000000,13526589,"['Elizabeth Banks', 'Catherine Keener', 'Paul Rudd', 'Kat Dennings', 'Jane Lynch', 'Kevin Hart*', 'Steve Carell', 'Mindy Kaling*', 'Leslie Mann', 'Jonah Hill*', 'Seth Rogen']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=44inchchest.htm,44 Inch Chest,39033,1/15/10,,247553,"['Tom Wilkinson', 'Ray Winstone', 'Ian McShane', 'John Hurt', 'Joanne Whalley']",Drama,['UK'],1,
