Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Genre,Budget
Abduction,28087155,3668455,"Taylor Lautner, Lily Collins, Sigourney Weaver, Alfred Molina, Elisabeth Rohm*, Maria Bello, Jason Isaacs, Michael Nyqvist",USA,1,Action,35000000
About Last Night,48637684,631550,"Christopher McDonald, Michael Ealy, Regina Hall, Joy Bryant, Kevin Hart, Paula Patton",USA,0,Comedy,12500000
Abraham Lincoln: Vampire Hunter,37519139,3870551,"Rufus Sewell, Mary Elizabeth Winstead, Marton Csokas, Benjamin Walker, Dominic Cooper, Anthony Mackie",USA,1,Horror,69000000
Accepted,36323505,1373829,"Justin Long, Jonah Hill, Blake Lively, Kellan Lutz",USA,0,Comedy,23000000
Act of Valor,70012847,837022,"Rorke Denver, Dave, Sonny, Weimy",USA,0,Thriller,12000000
Aeon Flux,25874337,1967049,"Frances McDormand, Sophie Okonedo, Charlize Theron",USA,1,Action,62000000
After Earth,60522097,9737192,"Jaden Smith, Will Smith",USA,0,Sci-Fi,130000000
After the Sunset,28331233,3323307,"Don Cheadle, Woody Harrelson, Salma Hayek, Naomie Harris, Pierce Brosnan",USA,1,Thriller,60000000
Agent Cody Banks 2: Destination London,23630159,1865270,Frankie Muniz,USA,0,Adventure,26000000
Alex Cross,25888412,804552,"John C. McGinley, Tyler Perry, Rachel Nichols, Cicely Tyson, Edward Burns, Jean Reno, Matthew Fox","USA, France",0,Thriller,35000000
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",66954149,4881803,"Dylan Minnette, Megan Mullally, Jennifer Coolidge, Jennifer Garner, Steve Carell, Bella Thorne",USA,0,Family,28000000
Alice in Wonderland,334191110,64437055,"Timothy Spall , Michael Sheen, Helena Bonham Carter, (Voice), Crispin Glover, Johnny Depp, Anne Hathaway, Alan Rickman, Mia Wasikowska",USA,1,Adventure,200000000
Aliens of the Deep,8968684,1190781,"Anatoly M. Sagalevitch, Genya Chernaiev, Victor Nischeta, Pamela Conrad",USA,0,IMAX,
All Is Lost,6263670,1259533,Robert Redford,USA,0,Drama,
Along Came Polly,88097164,15030232,"Kevin Hart*, Ben Stiller, Alec Baldwin, Jennifer Aniston, Philip Seymour Hoffman",USA,0,Comedy,42000000
Alpha Dog,15309602,4118141,"Amanda Seyfried, Ben Foster, Olivia Wilde*, Sharon Stone, Bruce Willis, Justin Timberlake, Emile Hirsch, Amber Heard*, Lukas Haas*","USA, Germany",0,Drama,
Alpha and Omega,25107267,4770519,", Dennis Hopper ,  , Christina Ricci, (Voice), Hayden Panettiere, Justin Long","USA, India",0,Animation,
Alvin and the Chipmunks,217326974,23615904,"David Cross, (Voice), Cameron Richardson, Jason Lee, Jane Lynch, Justin Long",USA,0,Comedy,60000000
Alvin and the Chipmunks: Chipwrecked,133110742,23778315,"Anna Faris, David Cross, (Voice), Christina Applegate, Jason Lee, Justin Long",USA,0,Comedy,75000000
American Dreamz,7191830,3942279,"Chris Klein, Jennifer Coolidge, Marcia Gay Harden, Hugh Grant, Mandy Moore, Willem Dafoe, Dennis Quaid",USA,1,Comedy,17000000
American Gangster,130164645,19890424,"Idris Elba, RZA, Denzel Washington, Josh Brolin, Russell Crowe, Common, T.I., Chiwetel Ejiofor, Carla Gugino","USA, UK",1,Drama,100000000
American Hustle,150117807,22518549,"Louis C.K., Michael Pena, Christian Bale, Jennifer Lawrence, Jeremy Renner, Amy Adams, Bradley Cooper",USA,1,Drama,40000000
American Reunion,57011521,25867816,"Chris Klein, Eugene Levy, Shannon Elizabeth*, Eddie Kay Thomas, Jennifer Coolidge*, Mena Suvari, Tara Reid, Seann William Scott, Jason Biggs, Alyson Hannigan, John Cho*, Thomas Ian Nicholas, Natasha Lyonne*",USA,0,Comedy,50000000
American Sniper,47842467,20735943,"Sienna Miller, Bradley Cooper",USA,1,Drama,58800000
American Splendor,6010990,701463,"Josh Hutcherson*, Hope Davis, Paul Giamatti",USA,0,Comedy,
American Wedding,104565114,27826516,"January Jones, Jennifer Coolidge*","USA, Germany",0,Comedy,55000000
An Inconvenient Truth,24146161,1772420,"Al Gore, Billy West",USA,0,Documentary,
Anacondas: The Hunt for the Blood Orchid,32238923,626648,"Johnny Messner, KaDee Strickland, Matthew Marsden, Nicholas Gonzalez",USA,0,Horror,20000000
Anchorman 2: The Legend Continues,125168368,23475178,"Kristen Wiig, Christina Applegate, Will Ferrell, Harrison Ford, Steve Carell, James Marsden, Paul Rudd, David Koechner, Meagan Good",USA,0,Comedy,50000000
Anchorman: The Legend of Ron Burgundy,85288303,2974968,"(Cameo), Will Ferrell, Tim Robbins*, Ben Stiller*, Christina Applegate, Paul Rudd, Steve Carell, Jack Black*, Luke Wilson*, Seth Rogen*, Vince Vaughn*",USA,0,Comedy,26000000
Anger Management,135645823,9594802,"Adam Sandler, Woody Harrelson*, John Turturro*, Luis Guzman, Marisa Tomei, Jack Nicholson, January Jones*",USA,0,Comedy,75000000
Annabelle,84273813,12034061,"Annabelle Wallis, Ward Horton, Tony Amendola, Alfre Woodard",USA,0,Horror,6500000
Annie,85911262,11429478,"Quvenzhane Wallis, Bobby Cannavale, Rose Byrne, Jamie Foxx, Cameron Diaz",USA,0,Drama,65000000
Another Earth,1321194,363659,"William Mapother, Brit Marling",USA,0,Drama,
