,Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Budget,Genres
34,Toy Story 3,415004880.0,116625632,",  , Wallace Shawn , Joan Cusack , Michael Keaton, Richard Kind* , (Voice), Bonnie Hunt*, Tom Hanks, John Ratzenberger , Lee Unkrich*, Ned Beatty ",USA,0,200000000.0,Animation
35,Free Birds,55750480.0,4380164,",  , Woody Harrelson, (Voice), Owen Wilson, Keith David , Amy Poehler ",USA,0,55000000.0,Animation
36,Puss in Boots,149260504.0,24035077,", (Voice), Antonio Banderas,  , Salma Hayek ",USA,0,130000000.0,Animation
37,Penguins of Madagascar,83320932.0,12365306,", (Voice), Benedict Cumberbatch, Ken Jeong ,  ","USA, Brazil",1,132000000.0,Animation
38,Rio 2,131538435.0,26342826,", (Voice), Jesse Eisenberg, George Lopez , Jemaine Clement, Jamie Foxx, Kristin Chenoweth , Leslie Mann, Anne Hathaway, Janelle Monae , Tracy Morgan",USA,0,103000000.0,Animation
39,WALL-E,223808164.0,41215600,", (Voice), Sigourney Weaver*, Fred Willard* ",USA,0,180000000.0,Animation
40,Tangled,200821936.0,32871348,", (Voice), Zachary Levi, Mandy Moore, Jeffrey Tambor , Donna Murphy ",USA,0,260000000.0,Animation
41,Frankenweenie,35291068.0,3708854,", (Voice), ""Catherine OHara "",  , Martin Landau ",USA,0,39000000.0,Animation
42,The Hobbit: An Unexpected Journey,303003568.0,78662475,", Andy Serkis , Richard Armitage, Martin Freeman, Ian McKellen","USA, New Zealand",1,,Fantasy
43,The Princess and the Frog,104400899.0,16387133,", Anika Noni Rose* , (Voice), Jenifer Lewis* , Keith David* , Terrence Howard",USA,0,105000000.0,Animation
44,Scary Movie 4,90710620.0,11037123,", Anna Faris, (Cameo), Leslie Nielsen, Simon Rex*, Bill Pullman*, Regina Hall, Anthony Anderson, James Earl Jones* , Craig Bierko, Charlie Sheen*",USA,0,45000000.0,Horror
45,Escape From Planet Earth,57012977.0,1860356,", Brendan Fraser,  , Rob Corddry , (Voice), Sofia Vergara , Jessica Alba","USA, Canada",0,40000000.0,Animation
46,ParaNorman,56003051.0,9853280,", Christopher Mintz-Plasse, Bernard Hill , Anna Kendrick, (Voice), Jeff Garlin , Kodi Smit-McPhee, Casey Affleck, Leslie Mann",USA,0,60000000.0,Animation
