,Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Budget,Genres
326,Sweet Home Alabama,127223418.0,8708667,"Dakota Fanning*, Josh Lucas, Reese Witherspoon",USA,0,30000000.0,Comedy
327,Fifty Shades of Grey,165982915.0,51603774,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford",USA,0,40000000.0,Romance
328,Let's Be Cops,82390774.0,8602722,"Damon Wayans Jr., Andy Garcia, Jake Johnson",USA,0,17000000.0,Action
329,Balls of Fury,32886940.0,4425910,"Dan Fogler, Christopher Walken, George Lopez, Maggie Q",USA,0,,Comedy
330,Good Luck Chuck,35017297.0,8155160,"Dan Fogler, Jessica Alba, Dane Cook","USA, Canada",0,,Comedy
331,Love Happens,22965110.0,2176055,"Dan Fogler, Martin Sheen, Jennifer Aniston, Judy Greer, Aaron Eckhart","USA, Canada, UK",0,18000000.0,Romance
332,The Guest,332890.0,1352579,"Dan Stevens, Maika Monroe, Brendan Meyer, Sheila Kelley",USA,1,,Thriller
333,Planes: Fire & Rescue,59165787.0,7701150,"Dane Cook , ,  , (Voice), Regina King , Patrick Warburton ",USA,0,50000000.0,Animation
334,Planes,90288712.0,14035447,"Dane Cook , , Cedric the Entertainer*,  , Larry the Cable Guy*, Teri Hatcher , (Voice), Sinbad* , John Cleese ",USA,0,50000000.0,Animation
335,Employee of the Month,28444855.0,7076703,"Dane Cook, Jessica Simpson, Dax Shepard, Andy Dick",USA,0,12000000.0,Comedy
336,Chronicle,64575175.0,10899971,"Dane DeHaan, Michael B. Jordan, Alex Russell",USA,0,12000000.0,Action
337,Metallica Through the Never,3419967.0,295007,Dane DeHaan,USA,0,18000000.0,Drama
338,Premium Rush,20275446.0,329804,"Dania Ramirez, Joseph Gordon-Levitt, Aasif Mandvi, Michael Shannon, Jamie Chung",USA,0,35000000.0,Action
339,The Fifth Estate,3255008.0,1617475,"Daniel Bruhl, Benedict Cumberbatch, Carice van Houten, Laura Linney, Stanley Tucci, Anthony Mackie, David Thewlis","USA, Belgium",1,28000000.0,Drama
340,Woman in Gold,17113323.0,723733,"Daniel Bruhl, Katie Holmes, Helen Mirren, Max Irons, Ryan Reynolds","USA, UK",1,,Drama
341,There Will Be Blood,40222514.0,9189480,"Daniel Day-Lewis, Ciaran Hinds, Paul Dano",USA,1,25000000.0,Drama
342,Mr. Brooks,28549298.0,1085224,"Danielle Panabaker, Dane Cook, William Hurt, Kevin Costner, Marg Helgenberger, Demi Moore",USA,0,20000000.0,Thriller
343,Piranha 3DD,376512.0,688269,"Danielle Panabaker, Matt Bush, Katrina Bowden, Jean-Luc Bilodeau",USA,0,,Horror
344,Deck the Halls,35093569.0,3945357,"Danny DeVito, Matthew Broderick",USA,0,,Comedy
345,Duplex,9692135.0,258973,"Danny DeVito*, Ben Stiller, Drew Barrymore, (Narrator)","USA, Germany",0,40000000.0,Comedy
346,Saw,55185045.0,12313847,"Danny Glover, Cary Elwes","USA, Australia",1,1200000.0,Horror
347,The Shaggy Dog,61123569.0,5534468,"Danny Glover, Tim Allen, Robert Downey, Jr., Joel David Moore*",USA,0,,Comedy
348,Silver City,1020656.0,303563,"Daryl Hannah, Kris Kristofferson, Danny Huston, Maria Bello, Richard Dreyfuss, Thora Birch, Chris Cooper, Tim Roth",USA,1,,Comedy
349,Neighbors,150157400.0,26923122,"Dave Franco, Christopher Mintz-Plasse, Craig Roberts*, Zac Efron, Jerrod Carmichael, Rose Byrne, Seth Rogen",USA,0,18000000.0,Comedy
350,Lilo & Stitch,145794338.0,20072600,"Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers",USA,0,80000000.0,Animation
351,Paranormal Activity 2,84752907.0,17483704,"David Bierend, Brian Boland, Molly Ephraim, Katie Featherston",USA,0,3000000.0,Horror
352,Alvin and the Chipmunks,217326974.0,23615904,"David Cross, (Voice), Cameron Richardson, Jason Lee, Jane Lynch, Justin Long",USA,0,60000000.0,Comedy
353,She's the Man,33741133.0,8673300,"David Cross, Amanda Crew, Vinnie Jones, Amanda Bynes, Channing Tatum, Jessica Lucas","USA, Canada",1,20000000.0,Comedy
354,A Haunted House,40041683.0,396265,"David Koechner, Nick Swardson, Cedric the Entertainer, Marlon Wayans",USA,0,2500000.0,Comedy
355,The Water Horse: Legend of the Deep,40946255.0,9451837,"David Morrissey, Ben Chaplin, Emily Watson, Brian Cox",USA,1,,Fantasy
356,The Reaping,25126214.0,1394223,"David Morrissey, Hilary Swank, Stephen Rea, AnnaSophia Robb, Idris Elba",USA,1,,Horror
357,Jack Reacher,80070736.0,15230207,"David Oyelowo, Werner Herzog, Tom Cruise, Jai Courtney, Robert Duvall, Richard Jenkins, Rosamund Pike",USA,1,60000000.0,Drama
358,Drag Me to Hell,42100625.0,10503062,"David Paymer, Alison Lohman, Justin Long",USA,0,30000000.0,Horror
359,Madagascar,193595521.0,40690223,"David Schwimmer, Sacha Baron Cohen, (Voice), Tom McGrath*, Ben Stiller, Chris Rock, Cedric the Entertainer, Jada Pinkett-Smith",USA,1,,Animation
360,The Spiderwick Chronicles,71195053.0,20902301,"David Strathairn, (Voice), Martin Short* , Freddie Highmore, Nick Nolte, Mary-Louise Parker, Seth Rogen*",USA,1,90000000.0,Fantasy
361,Fracture,39015018.0,6684382,"David Strathairn, Billy Burke, Cliff Curtis, Zoe Kazan, Ryan Gosling, Embeth Davidtz, Rosamund Pike, Anthony Hopkins","USA, Germany",1,,Thriller
362,The Rocker,6409528.0,701445,"Demetri Martin*, Jason Sudeikis, Josh Gad, Emma Stone, Bradley Cooper, Aziz Ansari*, Christina Applegate, Jane Lynch, Rainn Wilson, Jeff Garlin",USA,0,15000000.0,Comedy
363,The Joneses,1475746.0,786455,"Demi Moore, Amber Heard, David Duchovny, Gary Cole",USA,0,10000000.0,Drama
364,Far From Heaven,15901849.0,2076403,"Dennis Haysbert, Julianne Moore, Viola Davis, Dennis Quaid, Patricia Clarkson","USA, France",0,13500000.0,Drama
365,Captain America: The First Avenger,176654505.0,585504,"Derek Luke, Neal McDonough, Dominic Cooper, Samuel L. Jackson*, Chris Evans, Hugo Weaving, Hayley Atwell, Toby Jones, Tommy Lee Jones, Stanley Tucci, Sebastian Stan",USA,1,140000000.0,Action
366,Wrong Turn,15418790.0,2407475,"Desmond Harrington, Eliza Dushku, Emmanuelle Chriqui, Jeremy Sisto","USA, Germany",0,12600000.0,Horror
367,The Last Airbender,131772187.0,6564441,"Dev Patel, Cliff Curtis, Jackson Rathbone, Noah Ringer",USA,1,150000000.0,Fantasy
368,Chappie,31338504.0,3542889,"Dev Patel, Sharlto Copley, (Voice), Sigourney Weaver, Hugh Jackman","USA, Mexico",1,49000000.0,Action
369,Hollywoodland,14426251.0,334670,"Diane Lane, Adrien Brody, Bob Hoskins, Ben Affleck",USA,1,,Drama
370,Untraceable,28687835.0,3516577,"Diane Lane, Billy Burke",USA,0,35000000.0,Thriller
371,Under the Tuscan Sun,43610723.0,806314,Diane Lane,"USA, Italy",0,18000000.0,Romance
372,Jumper,80172128.0,17042267,"Diane Lane*, Rachel Bilson, Kristen Stewart*, Samuel L. Jackson, AnnaSophia Robb*, Max Thieriot*, Hayden Christensen, Jamie Bell","USA, Canada",1,85000000.0,Fantasy
373,Glee The 3D Concert Movie,11862398.0,1150126,"Dianna Agron, Chris Colfer, Darren Criss, Kevin McHale",USA,0,9000000.0,Concert
374,A Good Year,7459300.0,1896979,"Didier Bourdon, Tom Hollander, Albert Finney, Marion Cotillard, Russell Crowe, Freddie Highmore, Valeria Bruni-Tedeschi, Abbie Cornish","USA, UK",1,35000000.0,Romance
375,Milk,31841299.0,1973899,"Diego Luna, James Franco, Sean Penn, Emile Hirsch, Josh Brolin",USA,0,20000000.0,Drama
376,The Terminal,77872883.0,11911838,"Diego Luna*, Tom Hanks, Stanley Tucci, Zoe Saldana*, Catherine Zeta-Jones",USA,0,60000000.0,Comedy
377,Constantine,75976178.0,12833131,"Djimon Hounsou, Shia LaBeouf, Keanu Reeves, Tilda Swinton, Rachel Weisz","USA, Germany",1,100000000.0,Horror
378,The Expendables 2,85028192.0,9686288,"Dolph Lundgren, Randy Couture, Chuck Norris, Arnold Schwarzenegger, Terry Crews, Jet Li, Jean-Claude Van Damme, Bruce Willis, Jason Statham, Liam Hemsworth, Sylvester Stallone",USA,1,100000000.0,Action
379,The Expendables,103068524.0,15969695,"Dolph Lundgren, Randy Couture, Mickey Rourke, Arnold Schwarzenegger*, Terry Crews, Jet Li, David Zayas, Eric Roberts, Jason Statham, Bruce Willis*, Sylvester Stallone, """"Stone Cold"""" Steve Austin",USA,1,80000000.0,Action
380,Dracula Untold,56280355.0,7840174,"Dominic Cooper, Sarah Gadon, Samantha Barks, Charles Dance, Charlie Cox, Luke Evans",USA,1,70000000.0,Action
381,Iron Man 3,409013994.0,57074453,"Don Cheadle, Mark Ruffalo*, (Cameo), Ben Kingsley, (Voice), James Badge Dale, Jon Favreau, Rebecca Hall, Guy Pearce, Paul Bettany*, Gwyneth Paltrow, Robert Downey, Jr.","USA, China",1,200000000.0,Action
382,Ocean's Twelve,125544280.0,23591650,"Don Cheadle, Matt Damon, (Cameo), Bernie Mac, Brad Pitt, Jared Harris*, Casey Affleck, Catherine Zeta-Jones, Topher Grace*, Bruce Willis*, George Clooney, Julia Roberts",USA,0,110000000.0,Comedy
383,Ocean's Thirteen,117154724.0,26483353,"Don Cheadle, Matt Damon, Al Pacino, Elliott Gould, Bernie Mac, Brad Pitt, Ellen Barkin, Andy Garcia, Casey Affleck, Carl Reiner, Scott Caan, George Clooney",USA,0,,Comedy
384,Flight,93772375.0,7535112,"Don Cheadle, Melissa Leo, John Goodman, Bruce Greenwood, Denzel Washington",USA,0,31000000.0,Drama
385,Brooklyn's Finest,27163593.0,1903596,"Don Cheadle, Wesley Snipes, Ethan Hawke, Richard Gere",USA,0,17000000.0,Action
386,After the Sunset,28331233.0,3323307,"Don Cheadle, Woody Harrelson, Salma Hayek, Naomie Harris, Pierce Brosnan",USA,1,60000000.0,Thriller
387,The Other Woman,83911193.0,15515452,"Don Johnson, Cameron Diaz, Nicki Minaj, Kate Upton, Nikolaj Coster-Waldau, Leslie Mann",USA,0,40000000.0,Comedy
388,Django Unchained,162805434.0,24893462,"Don Johnson, Christoph Waltz, Kerry Washington, Samuel L. Jackson, Walton Goggins*, Dennis Christopher, Jamie Foxx, Jonah Hill*, Leonardo DiCaprio, James Remar*",USA,0,100000000.0,Western
389,Halloween,58272029.0,3629122,"Donald Pleasence, Jamie Lee Curtis, Nancy Kyes, P.J. Soles",USA,0,,Horror
390,Percy Jackson: Sea of Monsters,68559554.0,11375595,"Douglas Smith, Logan Lerman, Nathan Fillion, Sean Bean, Alexandra Daddario, Brandon T. Jackson, Stanley Tucci",USA,1,90000000.0,Fantasy
391,Charlie's Angels: Full Throttle,100830111.0,19623936,"Drew Barrymore, Cameron Diaz, Bernie Mac, Lucy Liu, Rodrigo Santoro*, Justin Theroux, Crispin Glover, John Cleese*, Carrie Fisher*, Demi Moore, Robert Patrick, Matt LeBlanc*, Shia LaBeouf*, Luke Wilson*",USA,0,120000000.0,Action
392,Fever Pitch,42071069.0,1374126,"Drew Barrymore, Jimmy Fallon","USA, Germany",0,30000000.0,Comedy
393,Paranormal Activity 3,104028807.0,16999985,Dustin Ingram,USA,0,5000000.0,Horror
394,The Perks of Being a Wallflower,17742948.0,3670944,"Dylan McDermott, Logan Lerman, Ezra Miller, Paul Rudd, Emma Watson, Melanie Lynskey",USA,1,,Drama
395,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",66954149.0,4881803,"Dylan Minnette, Megan Mullally, Jennifer Coolidge, Jennifer Garner, Steve Carell, Bella Thorne",USA,0,28000000.0,Family
396,We're the Millers,150394119.0,13433112,"Ed Helms, Emma Roberts, Jennifer Aniston, Jason Sudeikis, Will Poulter",USA,0,37000000.0,Comedy
397,Date Movie,48548426.0,8762281,"Eddie Griffin, Jennifer Coolidge, Alyson Hannigan","USA, Switzerland",0,20000000.0,Comedy
398,London Boulevard,16075.0,2101617,"Eddie Marsan, Ray Winstone, Anna Friel, Keira Knightley, Colin Farrell, Ben Chaplin, David Thewlis","USA, UK",1,,Drama
399,Sherlock Holmes: A Game of Shadows,186848418.0,42159124,"Eddie Marsan*, Rachel McAdams, Jared Harris, Noomi Rapace, Stephen Fry, Jude Law, Robert Downey, Jr.",USA,1,,Adventure
400,Dreamgirls,103365956.0,7483647,"Eddie Murphy, Beyonce Knowles, Danny Glover, Jamie Foxx, Sharon Leal, John Krasinski*",USA,0,,Drama
401,Daddy Day Care,104297061.0,8085784,Eddie Murphy,USA,0,60000000.0,Comedy
402,The Haunted Mansion,75847266.0,14866970,Eddie Murphy,USA,0,90000000.0,Adventure
403,Up,293004164.0,55413275,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",USA,0,175000000.0,Animation
404,What a Girl Wants,36105433.0,1400365,"Eileen Atkins, Amanda Bynes, Jonathan Pryce, Colin Firth, Kelly Preston",USA,1,25000000.0,Comedy
405,The Hoax,7164995.0,593193,"Eli Wallach, Alfred Molina, Julie Delpy, Marcia Gay Harden, Richard Gere, Stanley Tucci, Hope Davis",USA,1,25000000.0,Drama
406,The Haunting in Connecticut,55389516.0,6191957,"Elias Koteas, Virginia Madsen, Amanda Crew","USA, Canada",0,,Horror
407,Green Street Hooligans,346830.0,2301097,Elijah Wood,"USA, UK",0,,Crime
408,Captivity,2626800.0,1599336,"Elisha Cuthbert, Daniel Gillies, Pruitt Taylor Vince, Michael Harney","USA, Russia",0,,Horror
409,The 40-Year-Old Virgin,109449237.0,13526589,"Elizabeth Banks, Catherine Keener, Paul Rudd, Kat Dennings, Jane Lynch, Kevin Hart*, Steve Carell, Mindy Kaling*, Leslie Mann, Jonah Hill*, Seth Rogen",USA,0,26000000.0,Comedy
410,Martha Marcy May Marlene,2990625.0,713763,"Elizabeth Olsen, Christopher Abbott, Brady Corbet, Hugh Dancy",USA,1,,Drama
411,House at the End of The Street,31611916.0,3819271,"Elizabeth Shue, Max Thieriot, Jennifer Lawrence","USA, Canada",0,10000000.0,Thriller
412,Juno,143495265.0,19223726,"Ellen Page, Jennifer Garner, Allison Janney, J.K. Simmons, Rainn Wilson, Michael Cera, Olivia Thirlby, Jason Bateman",USA,0,7500000.0,Comedy
413,Whip It,13043363.0,542864,"Ellen Page, Kristen Wiig, Juliette Lewis, Daniel Stern, Jimmy Fallon, Marcia Gay Harden",USA,0,15000000.0,Comedy
414,Inception,292576195.0,56566947,"Ellen Page, Tom Berenger, Ken Watanabe, Cillian Murphy, Marion Cotillard, Joseph Gordon-Levitt, Lukas Haas*, Michael Caine, Tom Hardy, Leonardo DiCaprio","USA, UK",1,160000000.0,Action
415,Brick,2075743.0,1330381,"Emilie de Ravin, Joseph Gordon-Levitt, Lukas Haas",USA,0,,Drama
416,The Hills Have Eyes,41778863.0,6255176,Emilie de Ravin,"USA, France",0,15000000.0,Horror
417,Public Enemies,97104620.0,11334699,"Emilie de Ravin*, Giovanni Ribisi, Billy Crudup, Stephen Dorff, Christian Bale, Johnny Lang, Marion Cotillard, David Wenham, Carey Mulligan*, Rory Cochrane, Johnny Depp, Channing Tatum","USA, Japan",1,100000000.0,Drama
418,Dan in Real Life,47642963.0,3124287,"Emily Blunt, Amy Ryan, Dianne Wiest, Dane Cook, Steve Carell, Juliette Binoche",USA,1,,Comedy
419,Edge of Tomorrow,100206256.0,13304522,"Emily Blunt, Bill Paxton, Brendan Gleeson, Tom Cruise","USA, Canada",1,178000000.0,Action
420,Gulliver's Travels,42779261.0,24736921,"Emily Blunt, Billy Connolly, Jack Black, Amanda Peet, Jason Segel",USA,1,112000000.0,Adventure
421,The Wolfman,61979680.0,7315126,"Emily Blunt, Hugo Weaving, Benicio Del Toro, Anthony Hopkins",USA,1,150000000.0,Horror
422,Into the Woods,128002372.0,14859690,"Emily Blunt, James Corden, Meryl Streep, Chris Pine, Anna Kendrick, Johnny Depp","USA, UK, Canada",1,50000000.0,Drama
423,The Five-Year Engagement,28835528.0,7743125,"Emily Blunt, Jason Segel, Rhys Ifans, Chris Pratt, Kevin Hart*, Alison Brie","USA, Japan",1,30000000.0,Comedy
424,The Adjustment Bureau,62495645.0,8197549,"Emily Blunt, Matt Damon, John Slattery, Terence Stamp, Anthony Mackie",USA,1,50200000.0,Thriller
425,Charlie Wilson's War,66661095.0,9096666,"Emily Blunt, Philip Seymour Hoffman, Tom Hanks, Amy Adams, Julia Roberts, John Slattery*","USA, Germany",1,75000000.0,Drama
426,Looper,66486205.0,16564421,"Emily Blunt, Piper Perabo, Garret Dillahunt*, Jeff Daniels, Tracie Thoms*, Joseph Gordon-Levitt, Bruce Willis, Paul Dano","USA, China",1,30000000.0,Action
427,The Devil Wears Prada,124740460.0,26516965,"Emily Blunt, Simon Baker, Meryl Streep, Adrien Grenier, Stanley Tucci, Anne Hathaway","USA, France",1,35000000.0,Comedy
428,Lemony Snicket's A Series of Unfortunate Events,118634549.0,25422594,"Emily Browning, Cedric the Entertainer*, Jim Carrey, Meryl Streep, Jude Law, Jamie Harris*","USA, Germany",1,140000000.0,Adventure
429,Sucker Punch,36392502.0,3823250,"Emily Browning, Vanessa Hudgens, Jena Malone, Jamie Chung, Carla Gugino, Oscar Isaac, Jon Hamm*, Scott Glenn, Abbie Cornish","USA, Canada",0,82000000.0,Action
430,Aquamarine,18597342.0,438680,Emma Roberts,"USA, Australia",0,12000000.0,Comedy
431,Poseidon,60674817.0,6744755,"Emmy Rossum, Freddy Rodriguez, Josh Lucas, Stacy Ferguson*, Richard Dreyfuss, Mike Vogel, Kurt Russell, Jacinda Barrett, Kevin Dillon, Andre Braugher, Mia Maestro",USA,0,160000000.0,Action
432,Beautiful Creatures,19452138.0,3760105,"Emmy Rossum, Thomas Mann, Alice Englert, Jeremy Irons, Alden Ehrenreich, Emma Thompson, Viola Davis",USA,1,60000000.0,Drama
433,Hulk,132177234.0,13901681,"Eric Bana, Nick Nolte, Jennifer Connelly, Josh Lucas, Sam Elliott",USA,0,137000000.0,Action
434,Burlesque,39440655.0,2515180,"Eric Dane, Dianna Agron, Cher, Cam Gigandet, Kristen Bell, Christina Aguilera, Peter Gallagher, Stanley Tucci, Alan Cumming, Julianne Hough",USA,1,55000000.0,Drama
435,Cry Wolf,10047674.0,563911,"Errol Flynn, Barbara Stanwyck, Geraldine Brooks, Richard Basehart",USA,0,1000.0,Horror
436,Before the Devil Knows You're Dead,7084227.0,898096,"Ethan Hawke, Amy Ryan, Albert Finney, Marisa Tomei, Philip Seymour Hoffman",USA,1,,Thriller
437,Assault on Precinct 13,20040895.0,3795067,"Ethan Hawke, John Leguizamo, Laurence Fishburne, Brian Dennehy, Maria Bello, Gabriel Byrne","USA, France",0,30000000.0,Action
438,The Purge,64473115.0,5333028,"Ethan Hawke, Lena Headey","USA, France",1,3000000.0,Thriller
439,Boyhood,25352281.0,4840251,"Ethan Hawke, Patricia Arquette",USA,0,4000000.0,Drama
440,Sinister,48086903.0,10603856,Ethan Hawke,"USA, Canada, UK",0,3000000.0,Horror
441,Dumb and Dumberer: When Harry Met Lloyd,26276465.0,2785648,"Eugene Levy, Luis Guzman, Eric Christian Olsen, Mimi Rogers, Derek Richardson, Shia LaBeouf*, Cheri Oteri",USA,0,19000000.0,Comedy
442,The Sentinel,36280697.0,3888394,"Eva Longoria, Kim Basinger, Michael Douglas, Martin Donovan, Kiefer Sutherland",USA,0,,Action
443,Winter's Tale,12600231.0,744442,"Eva Marie Saint, Jennifer Connelly, Will Smith*, Jessica Brown Findlay, William Hurt, Russell Crowe, Colin Farrell",USA,1,60000000.0,Fantasy
444,Thirteen,4601043.0,432569,"Evan Rachel Wood, Holly Hunter, Vanessa Hudgens*",USA,0,2000000.0,Drama
445,Whatever Works,5306706.0,309345,"Evan Rachel Wood, Patricia Clarkson, Henry Cavill, Larry David","USA, France",1,,Comedy
446,August: Osage County,37738810.0,3167227,"Ewan McGregor, Benedict Cumberbatch, Juliette Lewis, Meryl Streep, Abigail Breslin, Chris Cooper, Julianne Nicholson, Julia Roberts, Dermot Mulroney",USA,1,,Comedy
447,Big Fish,66809693.0,11451955,"Ewan McGregor, Billy Crudup, Miley Cyrus*, Danny DeVito, Helena Bonham Carter",USA,1,70000000.0,Drama
448,Jack the Giant Slayer,65187603.0,11611710,"Ewan McGregor, Eddie Marsan, Nicholas Hoult, Ian McShane, Eleanor Tomlinson, Bill Nighy* , Stanley Tucci",USA,1,195000000.0,Adventure
449,The Men Who Stare at Goats,32428195.0,6638379,"Ewan McGregor, George Clooney, Jeff Bridges, Kevin Spacey","USA, UK",1,25000000.0,Comedy
450,Mortdecai,7696134.0,727292,"Ewan McGregor, Jeff Goldblum, Oliver Platt, Olivia Munn, Johnny Depp, Gwyneth Paltrow, Paul Bettany",USA,1,60000000.0,Action
451,Down with Love,20305251.0,3484385,"Ewan McGregor, Renee Zellweger","USA, Germany",1,,Comedy
452,The Island,35818913.0,9317545,"Ewan McGregor, Steve Buscemi, Michael Clarke Duncan, Djimon Hounsou, Scarlett Johansson, Sean Bean",USA,1,126000000.0,Action
453,The Devil Inside,53261944.0,7092192,"Fernanda Andrade, Simon Quarterman, Evan Helmuth, Ionut Grama",USA,0,1000.0,Horror
454,Vantage Point,72266306.0,11610153,"Forest Whitaker, William Hurt, Sigourney Weaver, Dennis Quaid, Matthew Fox, Zoe Saldana",USA,0,40000000.0,Thriller
455,Phone Booth,46566212.0,10975277,"Forest Whitaker*, (Voice), Katie Holmes, Kiefer Sutherland, Colin Farrell, Radha Mitchell",USA,0,13000000.0,Thriller
456,Moonrise Kingdom,45512466.0,3156399,"Frances McDormand, Edward Norton, Tilda Swinton, Bill Murray, Bruce Willis, Jason Schwartzman",USA,1,16000000.0,Drama
457,Friends with Money,13368437.0,889902,"Frances McDormand, Jennifer Aniston, Ty Burrell*, Joan Cusack, Catherine Keener",USA,0,6500000.0,Comedy
458,Something's Gotta Give,124728738.0,12638254,"Frances McDormand, Keanu Reeves, Jon Favreau, Amanda Peet, Jack Nicholson, Diane Keaton",USA,0,80000000.0,Comedy
459,Aeon Flux,25874337.0,1967049,"Frances McDormand, Sophie Okonedo, Charlize Theron",USA,1,62000000.0,Action
460,The Purge: Anarchy,71962800.0,7697696,"Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez","USA, France",0,9000000.0,Thriller
461,Captain America: The Winter Soldier,259766572.0,32230026,"Frank Grillo, Toby Jones*, Samuel L. Jackson, Chris Evans, Scarlett Johansson, Robert Redford, Hayley Atwell, Emily VanCamp*, Sebastian Stan, Anthony Mackie, Cobie Smulders",USA,1,170000000.0,Action
462,Wall Street: Money Never Sleeps,52474616.0,6392472,"Frank Langella, (Cameo), Susan Sarandon, Eli Wallach, Josh Brolin, Carey Mulligan, Charlie Sheen*, Michael Douglas, Shia LaBeouf",USA,1,70000000.0,Drama
463,Superman Returns,200081192.0,30157106,"Frank Langella, Brandon Routh, Parker Posey, Kevin Spacey, Kal Penn, James Marsden, Kate Bosworth",USA,0,270000000.0,Action
464,"Good Night, and Good Luck.",31558003.0,4400071,"Frank Langella, David Strathairn, Patricia Clarkson, Jeff Daniels, George Clooney, Robert Downey, Jr.","USA, France, UK, Japan",0,7000000.0,Drama
465,The Box,15051977.0,1964101,"Frank Langella, James Marsden, Cameron Diaz",USA,0,30000000.0,Horror
466,Stay Alive,23086480.0,763551,Frankie Muniz,USA,0,,Horror
467,Agent Cody Banks 2: Destination London,23630159.0,1865270,Frankie Muniz,USA,0,26000000.0,Adventure
468,Harsh Times,3337931.0,1425718,"Freddy Rodriguez, Christian Bale, Eva Longoria",USA,1,,Crime
469,Immortals,83504017.0,9780526,"Freida Pinto, John Hurt, Stephen Dorff, Isabel Lucas, Mickey Rourke, Henry Cavill, Luke Evans, Kellan Lutz",USA,1,75000000.0,Drama
470,The Last House on the Left,32752215.0,558010,"Garret Dillahunt, Michael Bowen, Josh Coxx, Riki Lindhome",USA,0,,Horror
471,The Unborn,42670410.0,1620599,"Gary Oldman, Cam Gigandet, Odette Yustman, Idris Elba, Jane Alexander, Carla Gugino, Meagan Good",USA,1,16000000.0,Horror
472,The Dark Knight,533345358.0,89066002,"Gary Oldman, Cillian Murphy*, Christian Bale, Michael Jai White*, Michael Caine, Heath Ledger, Eric Roberts, William Fichtner*, Morgan Freeman, Maggie Gyllenhaal, Aaron Eckhart","USA, UK",1,185000000.0,Action
473,Lawless,37400127.0,6858142,"Gary Oldman, Dane DeHaan*, Jason Clarke, Shia LaBeouf, Guy Pearce, Tom Hardy, Jessica Chastain, Mia Wasikowska",USA,1,,Drama
474,Dawn of the Planet of the Apes,208545589.0,55198182,"Gary Oldman, Kodi Smit-McPhee, Andy Serkis, Keri Russell, Jason Clarke, Judy Greer*",USA,1,170000000.0,Action
475,RoboCop,58607007.0,13333956,"Gary Oldman, Michael Keaton, Samuel L. Jackson, Jay Baruchel, Joel Kinnaman, Jennifer Ehle, Jackie Earle Haley, Abbie Cornish",USA,1,100000000.0,Action
476,Red Riding Hood,37662162.0,4377364,"Gary Oldman, Virginia Madsen, Julie Christie, Amanda Seyfried, Shiloh Fernandez, Max Irons, Billy Burke, Lukas Haas","USA, Canada",1,42000000.0,Drama
477,Pirates of the Caribbean: At World's End,309420425.0,81415664,"Geoffrey Rush, Bill Nighy, Naomie Harris, Jonathan Pryce, Stellan Skarsgard, Tom Hollander, Keira Knightley, Jack Davenport, Chow Yun-Fat, Johnny Depp, Orlando Bloom",USA,1,300000000.0,Adventure
478,Intolerable Cruelty,35327628.0,11104013,"Geoffrey Rush, Billy Bob Thornton, George Clooney, Cedric the Entertainer, Catherine Zeta-Jones",USA,0,,Comedy
479,The Book Thief,21488481.0,6826511,"Geoffrey Rush, Emily Watson","USA, Germany",1,,Drama
480,Munich,47403685.0,8959351,"Geoffrey Rush, Eric Bana, Daniel Craig, Ciaran Hinds","USA, Canada, France",1,70000000.0,Drama
481,Pirates of the Caribbean: The Curse of the Black Pearl,305413918.0,47531328,"Geoffrey Rush, Keira Knightley, Jonathan Pryce, Jack Davenport, Johnny Depp, Orlando Bloom, Zoe Saldana*",USA,1,140000000.0,Adventure
482,Happily N'Ever After,15589393.0,602537,"George Carlin , Sarah Michelle Gellar, Sigourney Weaver, (Voice), Freddie Prinze, Jr.","USA, Germany",0,,Animation
483,The Spy Next Door,24307086.0,3971159,"George Lopez, Billy Ray Cyrus, Jackie Chan",USA,0,28000000.0,Action
484,300,210614939.0,27994700,"Gerard Butler, Dominic West, Michael Fassbender, Lena Headey, Rodrigo Santoro, David Wenham",USA,1,65000000.0,Action
485,Law Abiding Citizen,73357727.0,9877854,"Gerard Butler, Jamie Foxx, Viola Davis",USA,1,50000000.0,Thriller
486,P.S. I Love You,53695808.0,21215090,"Gerard Butler, Kathy Bates, Jeffrey Dean Morgan, Gina Gershon, Harry Connick Jr., Lisa Kudrow, Hilary Swank, James Marsters",USA,1,30000000.0,Romance
487,Timeline,19481943.0,1104933,"Gerard Butler, Michael Sheen, Billy Connolly, Anna Friel, Paul Walker, Neal McDonough, Ethan Embry, ""Frances OConnor"", Matt Craven, David Thewlis",USA,1,80000000.0,Adventure
488,Guardians of the Galaxy,333176600.0,47385948,"Glenn Close, Lee Pace, John C. Reilly, Dave Bautista, Djimon Hounsou, Josh Brolin*, (Voice), Chris Pratt, Karen Gillan, Vin Diesel, Benicio Del Toro, Bradley Cooper, Zoe Saldana","USA, UK",1,170000000.0,Action
489,Beginners,5790894.0,1140463,"Goran Visnjic, Ewan McGregor, Melanie Laurent, Christopher Plummer",USA,1,3200000.0,Drama
